species,file,taxonomy,shallow_db,broad_db,mode,uniprot,mcl_test
Adenacarus-sp,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Adenacarus-sp.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Amblyomma-americanum,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Amblyomma-americanum.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,true
Amblyomma-sculptum,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Amblyomma-sculptum.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Blomia-tropicalis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Blomia-tropicalis.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Dermacentor-andersoni,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dermacentor-andersoni.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Dermacentor-silvarum,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dermacentor-silvarum.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Dermacentor-variabilis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dermacentor-variabilis.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Dermanyssus-gallinae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dermanyssus-gallinae.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Dermatophagoides-farinae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dermatophagoides-farinae.fasta,Parasitiformes,NA,arachnida_odb10,proteins,true,true
Dinothrombium-tinctorium,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Dinothrombium-tinctorium.fasta,Acariformes,NA,arachnida_odb10,proteins,true,true
Eukoenenia-spelaea,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Eukoenenia-spelaea.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Euroglyphus-maynei,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Euroglyphus-maynei.fasta,Palpigradi,NA,arachnida_odb10,proteins,true,true
Galendromus-occidentalis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Galendromus-occidentalis.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Galeodes-sp,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Galeodes-sp.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Haemaphysalis-longicornis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Haemaphysalis-longicornis.fasta,Solifugae,NA,arachnida_odb10,proteins,false,true
Hyalomma-asiaticum,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Hyalomma-asiaticum.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Ixodes-persulcatus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ixodes-persulcatus.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
