species,file,taxonomy,shallow_db,broad_db,mode,uniprot,mcl_test
Ixodes-ricinus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ixodes-ricinus.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Ixodes-scapularis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ixodes-scapularis.fasta,Parasitiformes,NA,arachnida_odb10,proteins,true,true
Leptotrombidium-deliense,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Leptotrombidium-deliense.fasta,Parasitiformes,NA,arachnida_odb10,proteins,true,true
Limulus-polyphemus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Limulus-polyphemus.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Nymphon-gracile,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Nymphon-gracile.fasta,Xiphosura,NA,arachnida_odb10,proteins,false,true
Oppiella-nova,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Oppiella-nova.fasta,Pycnogonida,NA,arachnida_odb10,proteins,true,true
Ornithodoros-erraticus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ornithodoros-erraticus.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Ornithodoros-moubata,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ornithodoros-moubata.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Ornithodoros-turicata,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ornithodoros-turicata.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Ornithonyssus-sylviarum,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ornithonyssus-sylviarum.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Phalangium-opilio,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Phalangium-opilio.fasta,Opiliones,NA,arachnida_odb10,proteins,false,true
Psoroptes-ovis,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Psoroptes-ovis.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Pycnogonum-litorale,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Pycnogonum-litorale.fasta,Pycnogonida,NA,arachnida_odb10,proteins,false,false
Rhipicephalus-microplus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Rhipicephalus-microplus.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Rhipicephalus-sanguineus,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Rhipicephalus-sanguineus.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
Ricinoides-atewa,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Ricinoides-atewa.fasta,Ricinulei,NA,arachnida_odb10,proteins,false,true
Sarcoptes-scabiei,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Sarcoptes-scabiei.fasta,Acariformes,NA,arachnida_odb10,proteins,true,true
Siro-boyerae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Siro-boyerae.fasta,Opiliones,NA,arachnida_odb10,proteins,false,false
Tetranychus-urticae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Tetranychus-urticae.fasta,Acariformes,NA,arachnida_odb10,proteins,true,true
Tropilaelaps-mercedesae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Tropilaelaps-mercedesae.fasta,Parasitiformes,NA,arachnida_odb10,proteins,true,true
Tyrophagus-putrescentiae,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Tyrophagus-putrescentiae.fasta,Acariformes,NA,arachnida_odb10,proteins,false,false
Varroa-destructor,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Varroa-destructor.fasta,Parasitiformes,NA,arachnida_odb10,proteins,true,true
Varroa-jacobsoni,s3://organism-selection-engines/datasets/proteomes/chelicerata-v1/outputs/processedprots/Varroa-jacobsoni.fasta,Parasitiformes,NA,arachnida_odb10,proteins,false,false
