Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000016	GO:0005164; GO:0009898; GO:0031625; GO:0043122; GO:0046330; GO:0046872; GO:0060255 (2)	GO:0005164; GO:0009898; GO:0031625; GO:0043122; GO:0046330; GO:0046872 (2)	GO:0005164; GO:0005737; GO:0008270; GO:0009898; GO:0031625; GO:0043122; GO:0046330 (1)							
OG0000017	GO:0004867; GO:0005615; GO:0010466 (491)	GO:0004674; GO:0004867; GO:0005615; GO:0010466 (263)	GO:0004867; GO:0005615; GO:0010466; GO:0016020 (31)							
OG0000018	GO:0008010; GO:0062129 (578)	GO:0042302 (170)	GO:0016020; GO:0042302 (6)							
OG0000019	GO:0005524; GO:0016020; GO:0016887; GO:0140359 (294)	GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016887; GO:0042626; GO:0043231; GO:0140359 (291)	GO:0005524; GO:0016020; GO:0140359 (131)	GO:0005319; GO:0005524; GO:0006869; GO:0016020; GO:0016787; GO:0042626; GO:0043231; GO:0140359 (20)	GO:0005524; GO:0006807; GO:0016020; GO:0016887 (6)	GO:0016020; GO:0140359 (3)				
OG0000020	GO:0046872 (3)									
OG0000021	GO:0003676; GO:0003887; GO:0008270; GO:0015074; GO:0042575 (1)	GO:0003676; GO:0003887; GO:0015074; GO:0042575 (1)								
OG0000022	None									
OG0000023	GO:0005506; GO:0020037; GO:0070330 (213)	GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (141)	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (114)	GO:0005506; GO:0005789; GO:0020037; GO:0070330 (92)	GO:0004497; GO:0005506; GO:0016705; GO:0020037 (80)	GO:0005506; GO:0018685; GO:0020037; GO:0052869 (35)	GO:0005506; GO:0016020; GO:0020037; GO:0070330 (13)	GO:0016020 (1)		
OG0000024	GO:0003964 (2)	GO:0071897 (1)	GO:0016020 (1)							
OG0000025	GO:0016020; GO:0022857 (604)	GO:0016020 (78)								
OG0000026	GO:0004888; GO:0005230; GO:0005254; GO:0005886 (140)	GO:0004888; GO:0005254; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (137)	GO:0004890; GO:0005230; GO:0005254; GO:0005886 (97)	GO:0005230; GO:0016020 (88)	GO:0006811; GO:0016020 (61)	GO:0004888; GO:0005230; GO:0005254; GO:0016020 (39)	GO:0004888; GO:0005886; GO:0043005; GO:0045202; GO:1902476; GO:1904315 (28)	GO:0004890; GO:0005230; GO:0005254; GO:0005886; GO:0030594; GO:0043005; GO:0045202; GO:1902476; GO:1902711 (24)	GO:0004888; GO:0005230; GO:0005886 (17)	GO:0004890; GO:0005230; GO:0005254; GO:0005886; GO:0030594; GO:0043005; GO:0045202; GO:1902476 (13)
OG0000027	GO:0003943 (403)	GO:0003943; GO:0016020 (188)	GO:0008484 (76)							
OG0000028	GO:0015293; GO:0016020 (355)	GO:0015187; GO:0015293; GO:0016020; GO:0035725 (127)	GO:0005332; GO:0016020; GO:0035725; GO:0043005 (92)	GO:0015293; GO:0016020; GO:0035725 (60)	GO:0005330; GO:0015874; GO:0032809; GO:0035725; GO:0042734; GO:0043005; GO:0051583 (25)	GO:0004497; GO:0005506; GO:0015293; GO:0016020; GO:0016705; GO:0020037 (3)				
OG0000029	GO:0008028; GO:0016020 (414)	GO:0016020 (186)	GO:0016020; GO:0022857 (55)							
OG0000030	GO:0004970; GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (245)	GO:0004970; GO:0045211 (205)	GO:0004970; GO:0016020 (69)	GO:0004970; GO:0005886; GO:0015276; GO:0038023; GO:0098839 (56)	GO:0007154; GO:0016020 (34)	GO:0004970; GO:0005886 (27)	GO:0015276; GO:0016020 (12)	GO:0005886; GO:0008066; GO:0035249; GO:0050804; GO:0098839; GO:1904315 (2)		
OG0000031	GO:0016020; GO:0016747 (564)	GO:0016020 (74)								
OG0000032	GO:0016614; GO:0050660 (318)	GO:0016491; GO:0016614; GO:0050660 (293)	GO:0016020; GO:0016614; GO:0050660 (20)							
OG0000033	GO:0003964 (1)									
OG0000034	GO:0004395; GO:0005739; GO:0006744; GO:0032259 (538)	GO:0003824 (65)								
OG0000035	GO:0004803; GO:0006313 (1)									
OG0000036	GO:0016020; GO:0016747 (575)	GO:0016020 (11)								
OG0000037	GO:0043565 (581)									
OG0000038	None									
