Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0003075	GO:0003785; GO:0005856; GO:0007015 (49)									
OG0003076	GO:0005634; GO:0005737; GO:0010992; GO:0016905; GO:0043130; GO:0043161 (37)	GO:0005737 (12)								
OG0003077	GO:0012505; GO:0016020; GO:0055085 (49)									
OG0003078	GO:0003676; GO:0015074 (40)	GO:0003676 (9)								
OG0003079	GO:0004970; GO:0005886 (41)	GO:0004970; GO:0005886; GO:0008270 (8)								
OG0003080	GO:0016020; GO:0022857 (2)	GO:0016020 (1)								
OG0003081	GO:0005524; GO:0016020; GO:0140359 (27)	GO:0016020 (21)								
OG0003082	None									
OG0003083	None									
OG0003084	GO:0004014; GO:0005829; GO:0006597; GO:0008295 (30)	GO:0004014; GO:0006597; GO:0008295 (18)								
OG0003085	GO:0004830; GO:0005524; GO:0006436 (48)									
OG0003086	GO:0004371; GO:0005524; GO:0005829; GO:0016310; GO:0019563; GO:0034012 (26)	GO:0004371; GO:0005524; GO:0006071; GO:0016310; GO:0034012 (10)	GO:0004371; GO:0005524; GO:0006071; GO:0016310 (6)	GO:0004371; GO:0006071; GO:0016310 (6)						
OG0003087	GO:0006364; GO:0032040 (48)									
OG0003088	None									
OG0003089	GO:0005886; GO:0005923; GO:0007155 (42)	GO:0005886; GO:0007155; GO:0007411 (6)								
OG0003090	GO:0005483; GO:0006886; GO:0019905; GO:0031201; GO:0035494 (36)	GO:0006886; GO:0016020; GO:0016192 (7)	GO:0006886 (5)							
OG0003091	GO:0009263; GO:0016020; GO:0016491; GO:0046872 (40)	GO:0009263; GO:0016491; GO:0046872 (6)	GO:0009263; GO:0016020; GO:0016491 (2)							
OG0003092	GO:0016301; GO:0016310 (48)									
OG0003093	GO:0004190; GO:0016020 (48)									
OG0003094	None									
OG0003095	GO:0016020; GO:0055085 (48)									
OG0003096	GO:0001932; GO:0004715; GO:0005829; GO:0005952; GO:0008603; GO:0016310; GO:0030552 (29)	GO:0001932; GO:0005952; GO:0008603; GO:0016301; GO:0016310; GO:0030552 (12)	GO:0001932; GO:0005952; GO:0008603; GO:0030552 (7)							
OG0003097	None									
OG0003098	None									
OG0003099	GO:0000184 (48)									
OG0003100	GO:0000938; GO:0005829; GO:0006869; GO:0007030; GO:0007041; GO:0015031; GO:0016020; GO:0032456; GO:0042147; GO:0048193; GO:1990745 (31)	GO:0000938; GO:0005829; GO:0006869; GO:0007030; GO:0015031; GO:0042147 (11)	GO:0000938; GO:0005768; GO:0005829; GO:0006869; GO:0007030; GO:0015031; GO:0042147 (6)							
OG0003101	GO:0004034; GO:0006012; GO:0030246 (41)	GO:0004034; GO:0006012; GO:0030246; GO:0047938 (7)								
OG0003102	GO:0006511; GO:0010498; GO:0050896 (48)									
OG0003103	GO:0005509; GO:0005788; GO:0005789; GO:0006457; GO:0030433; GO:0051082 (27)	GO:0005509; GO:0005788; GO:0006457; GO:0051082 (13)	GO:0005509; GO:0005783; GO:0006457; GO:0051082 (7)	GO:0003735; GO:0005509; GO:0005783; GO:0005840; GO:0006412; GO:0006457; GO:0051082 (1)						
OG0003104	GO:0005794; GO:0005829; GO:0016020; GO:0042147 (48)									
OG0003105	GO:0005794; GO:0015020; GO:0035269; GO:0042285 (27)	GO:0016757 (21)								
OG0003106	GO:0005634 (48)									
OG0003107	GO:0000462; GO:0000479; GO:0003924; GO:0005525; GO:0005730; GO:0030688; GO:0034511 (36)	GO:0042254 (7)	GO:0005634; GO:0042254 (5)							
OG0003108	GO:0005732; GO:0006364; GO:0034457 (48)									
OG0003109	GO:0000938; GO:0005829; GO:0006896; GO:0007041; GO:0015031; GO:0019905; GO:0032456; GO:0042147 (38)	GO:0005794; GO:0015031 (9)	GO:0005794; GO:0008083; GO:0015031; GO:0016020 (1)							
OG0003110	None									
OG0003111	GO:0005525; GO:0008033; GO:0008452; GO:0046872 (38)	GO:0003972; GO:0005525; GO:0006388; GO:0046872; GO:0072669 (10)								
OG0003112	GO:0000387; GO:0003730; GO:0004402; GO:0005634; GO:0032797 (48)									
OG0003113	GO:0005634; GO:0005737; GO:0019284; GO:0019509; GO:0046523 (43)	GO:0000398; GO:0005634; GO:0005737; GO:0019284; GO:0046523 (5)								
OG0003114	GO:0003735; GO:0005840; GO:0006412; GO:1990904 (45)	GO:0003723; GO:0003735; GO:0005762; GO:0016740; GO:0032543 (3)								
OG0003115	None									
OG0003116	GO:0004842; GO:0008270; GO:0016020; GO:0016567; GO:0016874 (31)	GO:0004842; GO:0008270; GO:0016020; GO:0016567 (16)	GO:0008270; GO:0008324; GO:0016020; GO:0016740 (1)							
OG0003117	GO:0005789; GO:0005794; GO:0006486; GO:0015012; GO:0016757; GO:0050508 (33)	GO:0005789; GO:0006486; GO:0015012; GO:0016757 (12)	GO:0005789; GO:0006486; GO:0006511; GO:0016757; GO:0031625 (3)							
OG0003118	None									
OG0003119	None									
OG0003120	None									
OG0003121	None									
OG0003122	GO:0004843; GO:0006511; GO:0016579 (48)									
OG0003123	GO:0005634 (48)									
OG0003124	GO:0051087 (48)									
OG0003125	None									
OG0003126	GO:0003924; GO:0005525; GO:0005737; GO:0005743; GO:0005874; GO:0006915; GO:0008017; GO:0008053; GO:0008289; GO:0031966 (30)	GO:0003924; GO:0005525; GO:0005743; GO:0006915; GO:0008289 (18)								
OG0003127	GO:0003677; GO:0004386; GO:0005524; GO:0008270 (47)	GO:0003677; GO:0004386; GO:0005524 (1)								
OG0003128	GO:0000703; GO:0003677; GO:0003906; GO:0004519; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078 (30)	GO:0000703; GO:0003677; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078 (7)	GO:0000703; GO:0003677; GO:0004519; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078 (4)	GO:0000703; GO:0003677; GO:0003906; GO:0004519; GO:0005634; GO:0005739; GO:0006285; GO:0016829; GO:0046872; GO:0051539 (4)	GO:0000703; GO:0003677; GO:0003906; GO:0005634; GO:0005739; GO:0006285; GO:0016829; GO:0046872; GO:0051539 (2)	GO:0003677; GO:0004519; GO:0006284; GO:0016798 (1)				
OG0003129	GO:0003723; GO:0005737; GO:0010468 (48)									
OG0003130	GO:0003779; GO:0005737; GO:0005925; GO:0007163; GO:0015629; GO:0030031; GO:0031532; GO:0034446 (30)	GO:0003779; GO:0007155; GO:0031532 (11)	GO:0003779; GO:0007155; GO:0016020; GO:0031532 (7)							
OG0003131	GO:0000462; GO:0005730; GO:0019843; GO:0032040; GO:0034511 (26)	GO:0005730; GO:0006364; GO:0034511 (22)								
OG0003132	GO:0002084; GO:0005764; GO:0006898; GO:0008474 (48)									
OG0003133	GO:0005783; GO:0005789; GO:0006614 (26)	GO:0005789; GO:0006614 (22)								
OG0003134	GO:0004726; GO:0005737; GO:0006470; GO:0016740; GO:0030971; GO:0048666; GO:0050839; GO:0070374 (32)	GO:0004222; GO:0004725; GO:0005506; GO:0006470; GO:0006508; GO:0016705; GO:0031418; GO:0048666; GO:0051213 (13)	GO:0004725; GO:0005737; GO:0006470; GO:0048666 (2)	GO:0004725; GO:0006470; GO:0048666 (1)						
OG0003135	GO:0016020 (48)									
OG0003136	None									
OG0003137	GO:0004722; GO:0004741; GO:0005739; GO:0006470; GO:0019909; GO:0046872; GO:1904184 (37)	GO:0004722; GO:0006470; GO:0046872 (11)								
OG0003138	GO:0000287; GO:0004427; GO:0005737; GO:0006796 (48)									
OG0003139	GO:0072546 (48)									
OG0003140	GO:0003924; GO:0005525; GO:0005783; GO:0005786; GO:0006614; GO:0008312 (46)	GO:0003924; GO:0005525; GO:0005786; GO:0006614; GO:0008312 (2)								
OG0003141	GO:0000244; GO:0000398; GO:0003723; GO:0005687; GO:0046540; GO:0071011; GO:0097526 (27)	GO:0000244; GO:0003723; GO:0005681; GO:0046540 (20)	GO:0000244; GO:0003723; GO:0005681; GO:0006486; GO:0016020; GO:0016758; GO:0046540 (1)							
OG0003142	GO:0004842; GO:0046872 (48)									
OG0003143	GO:0005802; GO:0006886; GO:0006893; GO:0031267; GO:0031901; GO:0034394; GO:0035091; GO:0043130 (34)	GO:0005802; GO:0006886; GO:0031267; GO:0031901; GO:0035091; GO:0043130 (8)	GO:0005802; GO:0006886; GO:0016192; GO:0031267; GO:0031901; GO:0035091; GO:0043130 (5)	GO:0005802; GO:0006886; GO:0016020; GO:0016192; GO:0016757; GO:0031267; GO:0035091; GO:0043130 (1)						
OG0003144	GO:0005956; GO:0016301; GO:0016310; GO:0019887 (29)	GO:0005737; GO:0005956; GO:0016301; GO:0016310; GO:0019887; GO:0080163 (19)								
OG0003145	GO:0004864; GO:0005737; GO:0007049; GO:0035308; GO:0051301 (33)	GO:0004864; GO:0005737; GO:0007049; GO:0051301 (15)								
OG0003146	None									
OG0003147	GO:0004821; GO:0005524; GO:0005739; GO:0005829; GO:0006427; GO:0032543 (32)	GO:0004821; GO:0005524; GO:0005737; GO:0006427 (8)	GO:0004812; GO:0005524; GO:0005737; GO:0006418; GO:0016020 (4)	GO:0004812; GO:0005524; GO:0005737 (1)	GO:0004821; GO:0005524 (1)	GO:0004821; GO:0005524; GO:0005787; GO:0006427; GO:0006465 (1)	GO:0004821; GO:0005524; GO:0005737; GO:0006418 (1)			
OG0003148	GO:0005576; GO:0007589; GO:0008613 (26)	GO:0005576; GO:0007589; GO:0008613; GO:0016020 (22)								
OG0003149	None									
OG0003150	None									
OG0003151	GO:0003676; GO:0005768; GO:0015031; GO:0032456 (39)	GO:0003723; GO:0005768; GO:0015031; GO:0032456 (5)	GO:0005768; GO:0015031; GO:0032456 (4)							
OG0003152	GO:0007224; GO:0016020; GO:0022857 (42)	GO:0016020 (6)								
OG0003153	None									
OG0003154	GO:0016020; GO:0046872 (48)									
OG0003155	GO:0005576; GO:0005886; GO:0006887; GO:0044218; GO:0044231; GO:0090729 (35)	GO:0005524; GO:0016020 (7)	GO:0016020 (6)							
OG0003156	GO:0004333; GO:0005739; GO:0006099; GO:0006106; GO:0006108; GO:0045239 (25)	GO:0004333; GO:0006099; GO:0006106; GO:0045239 (23)								
OG0003157	GO:0006749; GO:0031123; GO:0050313 (48)									
OG0003158	GO:0003723; GO:0004842; GO:0030014; GO:0046872 (48)									
OG0003159	GO:0000287; GO:0004749; GO:0005524; GO:0006015; GO:0009156; GO:0009165; GO:0016301; GO:0016310 (35)	GO:0000287; GO:0004749; GO:0005524; GO:0009156; GO:0009165; GO:0016301; GO:0016310 (11)	GO:0000287; GO:0004749; GO:0009165 (1)	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0016301; GO:0016310 (1)						
OG0003160	GO:0005634; GO:0042254 (26)	GO:0000447; GO:0005730; GO:0030687; GO:0042273 (22)								
OG0003161	GO:0003723; GO:0005737; GO:0043229 (48)									
OG0003162	GO:0005743; GO:0008137; GO:0010181; GO:0045271; GO:0046872; GO:0051287; GO:0051539 (24)	GO:0005747; GO:0006120; GO:0008137; GO:0010181; GO:0046872; GO:0051287; GO:0051539 (18)	GO:0008137; GO:0010181; GO:0046872; GO:0051539; GO:0110165 (5)	GO:0004672; GO:0005524; GO:0006468; GO:0008137; GO:0010181; GO:0045271; GO:0046872; GO:0051287; GO:0051539 (1)						
OG0003163	GO:0003746 (48)									
OG0003164	GO:0000209; GO:0005524; GO:0006511; GO:0016874; GO:0061631 (40)	GO:0005524; GO:0016740 (8)								
OG0003165	GO:0006596; GO:0016740 (48)									
OG0003166	GO:0000472; GO:0000480; GO:0004402; GO:0005730; GO:0030686; GO:0032040; GO:0034511 (27)	GO:0005730; GO:0006364; GO:0032040 (21)								
OG0003167	GO:0006368; GO:0008023 (48)									
OG0003168	GO:0003729; GO:0005737; GO:0005849; GO:0006378 (27)	GO:0003729; GO:0005737; GO:0005849; GO:0006378; GO:0006397 (17)	GO:0003729; GO:0005737; GO:0005849; GO:0006378; GO:0016787 (4)							
OG0003169	GO:0005741; GO:0008308; GO:0015288; GO:0046930 (48)									
OG0003170	None									
OG0003171	GO:0000056; GO:0000447; GO:0000472; GO:0000480; GO:0003723; GO:0005730; GO:0030686; GO:0030688 (31)	GO:0003723 (17)								
OG0003172	GO:0016020 (48)									
OG0003173	None									
OG0003174	GO:0005886; GO:0005923; GO:0030036; GO:0030334; GO:0031410 (48)									
OG0003175	None									
OG0003176	None									
OG0003177	GO:0005506; GO:0017172; GO:0042412 (25)	GO:0008198; GO:0017172; GO:0019448; GO:0042412 (23)								
OG0003178	GO:0004163; GO:0005524; GO:0005829; GO:0006695; GO:0019287 (41)	GO:0004163; GO:0005829; GO:0019287 (4)	GO:0004163; GO:0005524; GO:0005829; GO:0006695; GO:0016301; GO:0016310; GO:0019287 (1)	GO:0004163; GO:0005524; GO:0005829; GO:0019287 (1)	GO:0004163; GO:0005524; GO:0005829; GO:0016126; GO:0016301; GO:0016310; GO:0019287 (1)					
OG0003179	GO:0000278; GO:0000940; GO:0005876; GO:0007059; GO:0008017; GO:0031110; GO:0051301; GO:0072686 (34)	GO:0007059; GO:0008017; GO:0051301 (14)								
OG0003180	None									
OG0003181	GO:0005524; GO:0016887 (48)									
OG0003182	GO:0003746; GO:0005739 (48)									
OG0003183	GO:0004842; GO:0005634; GO:0016567; GO:0036297; GO:0046872 (48)									
OG0003184	GO:0003743; GO:0005851; GO:0006413 (36)	GO:0003743 (12)								
OG0003185	GO:0005929; GO:0015631; GO:0030992; GO:0042073; GO:0060271 (40)	GO:0015631; GO:0030992; GO:0031514; GO:0042073; GO:0060271 (8)								
OG0003186	None									
OG0003187	GO:0005576; GO:0005886; GO:0006887; GO:0044218; GO:0044231; GO:0090729 (25)	GO:0000724; GO:0005576; GO:0005886; GO:0006325; GO:0006887; GO:0016491; GO:0031297; GO:0043596; GO:0044218; GO:0044231; GO:0090729 (23)								
OG0003188	GO:0005783; GO:0006869; GO:0008289; GO:0016020 (47)									
OG0003189	None									
OG0003190	None									
OG0003191	None									
OG0003192	GO:0004222; GO:0005886; GO:0016485; GO:0046872 (48)									
OG0003193	GO:0004689; GO:0005516; GO:0005524; GO:0005964; GO:0005978; GO:0006468 (31)	GO:0004674; GO:0004689; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005964; GO:0005978; GO:0006468; GO:0044773 (17)								
OG0003194	GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (25)	GO:0004672; GO:0005524; GO:0006468 (23)								
OG0003195	None									
OG0003196	GO:0000813; GO:0006612; GO:0006623; GO:0031902; GO:0043162 (31)	GO:0000813; GO:0009056; GO:0015031; GO:0031902 (17)								
OG0003197	None									
OG0003198	GO:0008233 (48)									
OG0003199	None									
OG0003200	None									
OG0003201	GO:0005737; GO:0005856; GO:0008270; GO:0060255 (48)									
OG0003202	None									
OG0003203	None									
OG0003204	None									
OG0003205	GO:0005154; GO:0007173; GO:0016020; GO:0048018 (27)	GO:0005154; GO:0007166; GO:0007173; GO:0016020; GO:0048018 (20)	GO:0005154; GO:0007173; GO:0048018 (1)							
OG0003206	GO:0005737; GO:0007155; GO:0007266; GO:0051015 (45)	GO:0005737; GO:0007155; GO:0007266; GO:0045296; GO:0051015 (2)								
OG0003207	GO:0005783; GO:0005794; GO:0006612; GO:0016020; GO:0016491; GO:0018230; GO:0019706 (25)	GO:0016020; GO:0019706 (18)	GO:0016020; GO:0016409 (5)							
OG0003208	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0016579; GO:0042981 (34)	GO:0004843; GO:0006511; GO:0016579 (14)								
OG0003209	GO:0004879; GO:0005634; GO:0008270; GO:0043565 (32)	GO:0000122; GO:0000978; GO:0004879; GO:0005634; GO:0008270; GO:0009755; GO:0030154; GO:0045944 (16)								
OG0003210	GO:0003676; GO:0004143; GO:0005524; GO:0007205; GO:0035556; GO:0046339; GO:0046834 (29)	GO:0004143; GO:0005524; GO:0007205; GO:0046834 (16)	GO:0003676; GO:0004143; GO:0005524; GO:0007165; GO:0046834 (2)	GO:0003676; GO:0004143; GO:0005524; GO:0007205; GO:0046834 (1)						
OG0003211	GO:0005886; GO:0016485 (48)									
OG0003212	None									
OG0003213	GO:0000793; GO:0005634; GO:0007129; GO:0031573; GO:0036297; GO:0070182; GO:1990918 (29)	GO:0006281 (19)								
OG0003214	GO:0000166; GO:0006139; GO:0016811; GO:0047710 (35)	GO:0000166; GO:0003824; GO:0006807 (13)								
OG0003215	None									
OG0003216	GO:0005930; GO:0008104; GO:0016020; GO:0034464; GO:0036064; GO:0043005; GO:0046907; GO:0060271 (48)									
OG0003217	None									
OG0003218	GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0043408; GO:0051262 (30)	GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0051262 (10)	GO:0004674; GO:0005524; GO:0007165; GO:0016310; GO:0051262 (6)	GO:0004674; GO:0005524; GO:0006468; GO:0007165 (2)						
OG0003219	None									
OG0003220	GO:0000064; GO:0005739; GO:0016020; GO:1990575 (32)	GO:0016020 (16)								
OG0003221	GO:0030695 (48)									
OG0003222	GO:0003774; GO:0005524; GO:0005737; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (31)	GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (11)	GO:0003774; GO:0003779; GO:0005524; GO:0016459 (4)	GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016020; GO:0016459 (2)						
OG0003223	GO:0000045; GO:0006807; GO:0043170; GO:0044238 (26)	GO:0000045; GO:0000421; GO:0006807; GO:0016905; GO:0043170; GO:0044238 (22)								
OG0003224	GO:0000381; GO:0005634; GO:0006397; GO:0008380; GO:0080009 (48)									
OG0003225	None									
OG0003226	None									
OG0003227	GO:0004788; GO:0005524; GO:0006772; GO:0009229; GO:0016301; GO:0016310; GO:0030975 (46)	GO:0004788; GO:0005524; GO:0009229; GO:0016301; GO:0016310; GO:0030975 (2)								
OG0003228	None									
OG0003229	GO:0015347; GO:0016020; GO:0043252 (29)	GO:0005886; GO:0006811; GO:0055085 (15)	GO:0005886; GO:0006811; GO:0022857 (2)	GO:0016020; GO:0055085 (2)						
OG0003230	GO:0003688; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016787; GO:0032508; GO:0042555 (39)	GO:0003677; GO:0004386; GO:0005524; GO:0006260; GO:0032508 (6)	GO:0003688; GO:0004386; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016887; GO:0032508; GO:0042555 (3)							
OG0003231	GO:0004452; GO:0008299; GO:0050992 (44)	GO:0004452; GO:0008299 (4)								
OG0003232	GO:0000076; GO:0000278; GO:0003677; GO:0005634; GO:0030174; GO:0070182; GO:0071163 (28)	GO:0003677; GO:0005634; GO:0030174; GO:0071163 (19)	GO:0003700; GO:0005634; GO:0008270; GO:0030174; GO:0043565; GO:0071163 (1)							
OG0003233	GO:0008270 (48)									
OG0003234	None									
OG0003235	None									
OG0003236	GO:0000506; GO:0006506; GO:0017176 (46)	GO:0016020; GO:0016757 (1)								
OG0003237	None									
OG0003238	None									
OG0003239	GO:0003755; GO:0005737; GO:0019211 (40)	GO:0003755; GO:0005737; GO:0006914; GO:0019211; GO:0019787 (6)	GO:0019211 (1)							
OG0003240	GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0051019 (28)	GO:0004674; GO:0005524; GO:0006468; GO:0050896 (18)	GO:0004672; GO:0005524; GO:0006468; GO:0050896 (1)							
OG0003241	GO:0006368; GO:0016570; GO:0016593 (47)									
OG0003242	GO:0004843; GO:0006511 (47)									
OG0003243	GO:0004715; GO:0004993; GO:0007187; GO:0007197; GO:0007271; GO:0016020; GO:0016907; GO:0030425; GO:0045202 (23)	GO:0004930; GO:0016020 (16)	GO:0005886; GO:0016907 (5)	GO:0005886; GO:0016907; GO:0045202 (2)						
OG0003244	None									
OG0003245	GO:0005794; GO:0007030 (47)									
OG0003246	GO:0000166; GO:0004775; GO:0004776; GO:0005739; GO:0006099 (35)	GO:0000166; GO:0004775; GO:0005739; GO:0006099 (12)								
OG0003247	None									
OG0003248	GO:0000727; GO:0003678; GO:0003697; GO:0005524; GO:0005634; GO:0006268; GO:0006271; GO:0016787; GO:0042555; GO:1902975 (29)	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0016787; GO:0042555 (13)	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0016887; GO:0042555 (4)	GO:0003677; GO:0004386; GO:0005524; GO:0006260; GO:0032508 (1)						
OG0003249	GO:0005085; GO:0007264 (47)									
OG0003250	GO:0008237; GO:0046872 (33)	GO:0004222; GO:0006508; GO:0046872 (8)	GO:0004222; GO:0006508; GO:0016020; GO:0046872 (6)							
OG0003251	None									
OG0003252	GO:0004830; GO:0005524; GO:0005737; GO:0006436 (27)	GO:0004830; GO:0005524; GO:0006436 (20)								
OG0003253	GO:0003723; GO:0005681; GO:0045292 (47)									
OG0003254	GO:0005743 (47)									
OG0003255	None									
OG0003256	GO:0000398; GO:0003729; GO:0004402; GO:0071013 (47)									
OG0003257	GO:0004605; GO:0005739; GO:0005743; GO:0016024; GO:0032049 (29)	GO:0004605; GO:0005743; GO:0016024; GO:0032049 (18)								
OG0003258	GO:0005524; GO:0016887 (47)									
OG0003259	GO:0000139; GO:0006890; GO:0015031; GO:0030126 (47)									
OG0003260	GO:0003723; GO:0008270 (47)									
OG0003261	GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0016282; GO:0033290; GO:0043614; GO:0071540; GO:0071541 (30)	GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0016282; GO:0033290 (17)								
OG0003262	GO:0016020 (47)									
OG0003263	GO:0004018; GO:0005829; GO:0006189; GO:0044208; GO:0070626 (29)	GO:0004018; GO:0006189; GO:0044208; GO:0070626 (12)	GO:0004018; GO:0009152; GO:0009168 (4)	GO:0004018; GO:0006189; GO:0044208 (2)						
OG0003264	None									
OG0003265	GO:0003677; GO:0005730; GO:0006334; GO:0006360; GO:0042393 (47)									
OG0003266	GO:0004519; GO:0005634; GO:0005737; GO:0032790; GO:0046872; GO:0051301; GO:0070481; GO:0070651; GO:0070966; GO:0071025 (17)	GO:0004519; GO:0005737; GO:0046872; GO:0070481; GO:0070966; GO:0071025 (14)	GO:0004519; GO:0005634; GO:0005737; GO:0046872; GO:0070481; GO:0070966; GO:0071025 (9)	GO:0070481; GO:0070966; GO:0071025 (4)	GO:0003779; GO:0004519; GO:0005737; GO:0046872; GO:0070481; GO:0070966; GO:0071025 (2)	GO:0004519; GO:0005737; GO:0016020; GO:0046872; GO:0070481; GO:0070966; GO:0071025 (1)				
OG0003267	GO:0005669; GO:0046982; GO:0051123 (36)	GO:0003743; GO:0005669; GO:0046982; GO:0051123 (11)								
OG0003268	GO:0008746; GO:0016020; GO:1902600 (29)	GO:0006740; GO:0008746; GO:0016020; GO:0050661; GO:0051287; GO:1902600 (16)	GO:0016491 (1)	GO:0004823; GO:0005524; GO:0006429; GO:0008746; GO:0016020; GO:1902600 (1)						
OG0003269	GO:0005783; GO:0005786; GO:0006614; GO:0008312 (40)	GO:0006614; GO:0008312; GO:0048500 (4)	GO:0005786; GO:0006614; GO:0008312 (2)	GO:0005783; GO:0006614; GO:1990904 (1)						
OG0003270	GO:0005524; GO:0005743; GO:0005759; GO:0006457; GO:0008637; GO:0034514; GO:0042026; GO:0045041; GO:0051087; GO:0140662 (33)	GO:0005524; GO:0042026; GO:0140662 (14)								
OG0003271	GO:0003713; GO:0005634 (44)	GO:0003713; GO:0005634; GO:0006486; GO:0016020; GO:0016758 (3)								
OG0003272	GO:0000785; GO:0003690; GO:0005634; GO:0005654; GO:0007059; GO:0032116; GO:0034088; GO:0051301 (27)	GO:0005654; GO:0007059; GO:0007064; GO:0051301 (18)	GO:0003677; GO:0003910; GO:0005524; GO:0005654; GO:0006260; GO:0006310; GO:0007059; GO:0007064; GO:0051103; GO:0051301; GO:0071897 (2)							
OG0003273	GO:0000398; GO:0005681; GO:0030628 (39)	GO:0000398; GO:0005681; GO:0008270; GO:0030628 (8)								
OG0003274	None									
OG0003275	GO:0000209; GO:0006511; GO:0009966; GO:0061630 (28)	GO:0000209; GO:0009966; GO:0016874; GO:0061630 (14)	GO:0000209; GO:0009966; GO:0016020; GO:0016874; GO:0061630 (4)	GO:0000209; GO:0009966; GO:0061630 (1)						
OG0003276	GO:0000045; GO:0000407; GO:0006995; GO:0034271; GO:0034272; GO:0045324 (47)									
OG0003277	GO:0003735; GO:0006412; GO:0019843; GO:0022627; GO:0042274 (25)	GO:0003735; GO:0006412; GO:0015935; GO:0019843 (22)								
OG0003278	GO:0005634; GO:0033260 (35)	GO:0005634 (12)								
OG0003279	None									
OG0003280	GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:1990904 (47)									
OG0003281	GO:0005737; GO:0007163; GO:0015629; GO:0016477; GO:0030674; GO:0051015; GO:0051017 (31)	GO:0005730; GO:0005737; GO:0007517; GO:0015030; GO:0030674; GO:0051015 (10)	GO:0005737; GO:0005856; GO:0007015; GO:0030674; GO:0051015 (6)							
OG0003282	GO:0002098; GO:0005634; GO:0005737; GO:0033588 (47)									
OG0003283	GO:0005794; GO:0016020 (47)									
OG0003284	GO:0006564; GO:0036424; GO:0046872 (25)	GO:0000287; GO:0005737; GO:0006564; GO:0016311; GO:0036424 (22)								
OG0003285	GO:0000139; GO:0005537; GO:0005789; GO:0005793; GO:0006888; GO:0030134 (29)	GO:0016020 (18)								
OG0003286	None									
OG0003287	GO:0016020 (47)									
OG0003288	GO:0005525; GO:0005730; GO:0042254 (24)	GO:0003723; GO:0003924; GO:0005525; GO:0005730; GO:0042273 (23)								
OG0003289	GO:0008478; GO:0009443; GO:0016310 (23)	GO:0008478; GO:0009443; GO:0016020; GO:0016310 (13)	GO:0008478; GO:0009443 (11)							
OG0003290	None									
OG0003291	None									
OG0003292	GO:0015297; GO:0016020; GO:1902600 (47)									
OG0003293	GO:0003779; GO:0005737; GO:0005885; GO:0030833; GO:0034314 (47)									
OG0003294	GO:0003723; GO:0006307; GO:0010468 (43)	GO:0006307 (4)								
OG0003295	GO:0003729; GO:0005634; GO:0006406 (42)	GO:0003723 (5)								
OG0003296	GO:0005634 (47)									
OG0003297	GO:0004843; GO:0016579; GO:0016740; GO:0043161; GO:0061136; GO:0070628 (29)	GO:0004843; GO:0016579; GO:0043161 (17)	GO:0004843; GO:0016020; GO:0016579; GO:0043161 (1)							
OG0003298	None									
OG0003299	None									
OG0003300	GO:0004197; GO:0005615; GO:0006955; GO:0008656; GO:0010952; GO:0051603; GO:2001235 (29)	GO:0003700; GO:0005634; GO:0005737; GO:0006508; GO:0008234; GO:0008270; GO:0043565 (18)								
OG0003301	None									
OG0003302	GO:0101030 (47)									
OG0003303	None									
OG0003304	GO:0003735; GO:0005840; GO:0006412; GO:1990904 (47)									
OG0003305	None									
OG0003306	GO:0004618; GO:0005524; GO:0006096; GO:0016310 (29)	GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0016310; GO:0043531 (18)								
OG0003307	GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0016282; GO:0033290 (47)									
OG0003308	GO:0003725; GO:0004525; GO:0005634; GO:0005737; GO:0016442; GO:0030422; GO:0035197; GO:0070578; GO:0070920 (47)									
OG0003309	GO:0003743 (47)									
OG0003310	None									
OG0003311	GO:0003723; GO:0005730; GO:0006364; GO:0032040 (29)	GO:0003723; GO:0005730; GO:0006364; GO:1990904 (18)								
OG0003312	GO:0000502 (47)									
OG0003313	None									
