profile_type	cluster_data	gene_family_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	OG0005246	-0.811993354139249	0.568294678298894	0.994373715773647	No	No
speciation	combined	OG0005520	-0.559295801207859	0.545763929319482	0.994373715773647	No	No
speciation	combined	OG0003471	-0.314496695392553	0.558004804421018	0.994373715773647	No	No
speciation	combined	OG0003098	-0.188327156745939	0.736408402108836	0.994373715773647	No	No
speciation	combined	OG0002229	-0.169405199426075	0.527430525908295	0.994373715773647	No	No
speciation	combined	OG0001289	-0.0594489074861628	0.857499694022029	0.994373715773647	No	No
speciation	combined	OG0001154	-0.0532827583414695	0.758186328031897	0.994373715773647	No	No
speciation	combined	OG0002126	-0.053108660606569	0.897573761781118	0.994373715773647	No	No
speciation	combined	OG0001592	-0.0527265781275652	0.803812623616119	0.994373715773647	No	No
speciation	combined	OG0004234	-0.0415803155045542	0.885170595473128	0.994373715773647	No	No
speciation	combined	OG0010066	-0.0402019608224981	0.882688181856457	0.994373715773647	No	No
speciation	combined	OG0009095	-0.0392762341374509	0.910285992265069	0.994373715773647	No	No
speciation	combined	OG0012786	-0.0385637472784783	0.979316585991676	0.994373715773647	No	No
speciation	combined	OG0005434	-0.0381352827230168	0.854895083782736	0.994373715773647	No	No
speciation	combined	OG0010839	-0.030830906777916	0.970219435851652	0.994373715773647	No	No
speciation	combined	OG0008048	-0.0303709660524107	0.970767515604136	0.994373715773647	No	No
speciation	combined	OG0005027	-0.0281924189151033	0.937275814705322	0.994373715773647	No	No
speciation	combined	OG0008503	-0.0245477527724546	0.946033007748722	0.994373715773647	No	No
speciation	combined	OG0006355	-0.0160394214752104	0.934331443784584	0.994373715773647	No	No
speciation	combined	OG0001306	-0.00032392969311999	0.998930398148168	0.998930398148168	No	No
speciation	combined	OG0002256	0.00249123568601506	0.991071252643622	0.995576121973821	No	No
speciation	combined	OG0007265	0.00655870744489587	0.985374858617324	0.994373715773647	No	No
speciation	combined	OG0004969	0.00806390839944286	0.8917177351143	0.994373715773647	No	No
speciation	combined	OG0010750	0.0105744596986641	0.977586260793065	0.994373715773647	No	No
speciation	combined	OG0011981	0.0105744596986641	0.977586260793065	0.994373715773647	No	No
speciation	combined	OG0014034	0.0108066653913479	0.977267625756626	0.994373715773647	No	No
speciation	combined	OG0010681	0.0118597023660972	0.983356406903127	0.994373715773647	No	No
speciation	combined	OG0011266	0.0118597023660972	0.983356406903127	0.994373715773647	No	No
