OG0000143	OG0000174	OG0000251	OG0000306	OG0000385	OG0000507	OG0000749	OG0000753	OG0000903	OG0001018	OG0001263	OG0001399	OG0001677	OG0001774	OG0002057	OG0002295	OG0002407	OG0002628	OG0002756	OG0003238	OG0003771	OG0004909	OG0005403	OG0005652	OG0005814	OG0006477	OG0006782	OG0006879	OG0006962	OG0006967	OG0007118	OG0007216	OG0007357	OG0007481	OG0007597	OG0007774	OG0007797	OG0007905	OG0007955	OG0008089	OG0008431	OG0008481	OG0008628	OG0008661	OG0008823	OG0008871	OG0008872	OG0009073	OG0009375	OG0009633	OG0009872	OG0009919	OG0009965	OG0009997	OG0010246	OG0010335	OG0010688	OG0010694	OG0010736	OG0010743	OG0010752	OG0010780	OG0010826	OG0010930	OG0011232	OG0011245	OG0011284	OG0011845	OG0011854	OG0011906	OG0011998	OG0012703	OG0012706	OG0012719	OG0012723	OG0012730	OG0012735	OG0012745	OG0012748	OG0012847	OG0012861	OG0012903	OG0013828	OG0013891	OG0013942	OG0013948	OG0013984	OG0013995	OG0014035	OG0014054	OG0014434	detection_suppression
0	0	1	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	12	2	2	19	1	0	2	0	0	1	2	0	4	3	0	17	10	2	0	17	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0	1	3	0	2	5	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
39	0	0	13	4	2	0	1	0	1	5	0	15	4	1	0	6	0	8	0	2	0	0	0	0	0	1	0	4	1	3	7	0	6	11	0	3	5	0	0	3	5	2	1	0	0	2	0	0	0	1	4	0	0	1	0	2	1	1	0	0	0	1	1	1	1	1	0	2	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1
1	1	0	0	1	0	4	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27	0	0	2	7	0	1	4	1	0	4	0	5	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	0	7	1	0	3	0	4	4	0	1	0	0	0	0	0	0	7	0	0	0	3	2	0	1	3	1	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
17	33	1	0	6	0	0	0	0	0	0	0	5	0	13	0	0	1	0	0	3	0	1	0	1	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	5	0	0	9	0	0	0	2	0	1	0	10	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1
26	0	1	0	2	0	1	2	0	0	4	0	0	0	1	0	4	2	2	0	0	0	2	0	3	0	0	1	3	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
6	91	13	10	8	0	0	4	0	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
28	5	3	1	13	0	0	0	0	0	4	0	1	0	7	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	3	0	1	2	4	2	0	0	3	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	6	0	0	0	4	4	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5	0	0	3	0	2	5	2	0	0	2	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
