profile_type	cluster_data	gene_family_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	OG0005652	-0.331361833222875	0.60842028053797	0.99428258920205	No	No
speciation	combined	OG0000507	-0.186986069950915	0.381666016839253	0.99428258920205	No	No
speciation	combined	OG0001399	-0.0771591578633876	0.73350681123091	0.99428258920205	No	No
speciation	combined	OG0000903	-0.0765748574707721	0.676943986099606	0.99428258920205	No	No
speciation	combined	OG0012703	-0.0377774965182244	0.933770093383713	0.99428258920205	No	No
speciation	combined	OG0001018	-0.0320471079198093	0.92143494034081	0.99428258920205	No	No
speciation	combined	OG0014434	-0.030830906777916	0.970219435851652	0.99428258920205	No	No
speciation	combined	OG0000749	-0.0240020062622987	0.799975294118927	0.99428258920205	No	No
speciation	combined	OG0002295	-0.0197280544630501	0.857504966375797	0.99428258920205	No	No
speciation	combined	OG0007357	-0.0194366239467792	0.963071236847689	0.99428258920205	No	No
speciation	combined	OG0006477	-0.0159529862220635	0.927489289353958	0.99428258920205	No	No
speciation	combined	OG0006782	-0.0113958611678166	0.967897555269235	0.99428258920205	No	No
speciation	combined	OG0000251	-0.00311364360620387	0.927272301918137	0.99428258920205	No	No
speciation	combined	OG0000753	0.000667924232193151	0.994700450642731	0.994700450642731	No	No
speciation	combined	OG0000306	0.00121503739585738	0.968227601219431	0.99428258920205	No	No
speciation	combined	OG0008661	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0011232	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0011245	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0011906	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0012730	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0012735	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0012903	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0013828	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0014054	0.0105744596986641	0.977586260793065	0.99428258920205	No	No
speciation	combined	OG0013891	0.0118597023660972	0.983356406903127	0.99428258920205	No	No
speciation	combined	OG0009965	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0010335	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0012719	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0012847	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0013984	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0013995	0.0146578374989203	0.978166531205068	0.99428258920205	No	No
speciation	combined	OG0010736	0.0158215199534214	0.962892778934877	0.99428258920205	No	No
speciation	combined	OG0012748	0.0158215199534214	0.962892778934877	0.99428258920205	No	No
speciation	combined	OG0010688	0.0165278682428559	0.945726687590809	0.99428258920205	No	No
speciation	combined	OG0011854	0.0165278682428559	0.945726687590809	0.99428258920205	No	No
speciation	combined	OG0012861	0.017277763513052	0.97848480298192	0.99428258920205	No	No
speciation	combined	OG0013948	0.017277763513052	0.97848480298192	0.99428258920205	No	No
speciation	combined	OG0014035	0.017277763513052	0.97848480298192	0.99428258920205	No	No
speciation	combined	OG0000174	0.0174398498646062	0.40000146078169	0.99428258920205	No	No
speciation	combined	OG0009375	0.0188025407220849	0.954171027908573	0.99428258920205	No	No
speciation	combined	OG0010246	0.018899516932445	0.959252427947661	0.99428258920205	No	No
speciation	combined	OG0011998	0.0200758164193913	0.962707880752468	0.99428258920205	No	No
speciation	combined	OG0012706	0.0200758164193913	0.962707880752468	0.99428258920205	No	No
speciation	combined	OG0010826	0.0220519305737573	0.946671095003638	0.99428258920205	No	No
speciation	combined	OG0010752	0.0226326631908573	0.944319767132013	0.99428258920205	No	No
speciation	combined	OG0012723	0.0226326631908573	0.944319767132013	0.99428258920205	No	No
speciation	combined	OG0011845	0.0227729875115301	0.970823116746977	0.99428258920205	No	No
speciation	combined	OG0013942	0.0235302557872898	0.970565550795519	0.99428258920205	No	No
speciation	combined	OG0007597	0.0240887709807043	0.797220217890221	0.99428258920205	No	No
speciation	combined	OG0010930	0.0241466072830333	0.913461039858634	0.99428258920205	No	No
speciation	combined	OG0011284	0.0243673340294161	0.93249818311738	0.99428258920205	No	No
speciation	combined	OG0008481	0.0254523575919859	0.869291996696695	0.99428258920205	No	No
speciation	combined	OG0009633	0.02719911574858	0.912985843121422	0.99428258920205	No	No
speciation	combined	OG0009997	0.02719911574858	0.912985843121422	0.99428258920205	No	No
speciation	combined	OG0010694	0.0273072115132552	0.933892189622933	0.99428258920205	No	No
speciation	combined	OG0009919	0.0285981852093773	0.873779403342381	0.99428258920205	No	No
speciation	combined	OG0009872	0.029642442873904	0.916195713748489	0.99428258920205	No	No
speciation	combined	OG0005403	0.0302132109567729	0.93240150753694	0.99428258920205	No	No
speciation	combined	OG0006967	0.0309401159788234	0.916445942984226	0.99428258920205	No	No
speciation	combined	OG0008089	0.0316041092614512	0.932713429478178	0.99428258920205	No	No
speciation	combined	OG0008823	0.0316041092614512	0.932713429478178	0.99428258920205	No	No
speciation	combined	OG0009073	0.0316041092614512	0.932713429478178	0.99428258920205	No	No
speciation	combined	OG0010743	0.0316041092614512	0.932713429478178	0.99428258920205	No	No
speciation	combined	OG0012745	0.0316041092614512	0.932713429478178	0.99428258920205	No	No
speciation	combined	OG0001677	0.031978585098812	0.629757117049351	0.99428258920205	No	No
speciation	combined	OG0008871	0.0356425907023007	0.813448280014504	0.99428258920205	No	No
speciation	combined	OG0008872	0.035656202916777	0.866850306544556	0.99428258920205	No	No
speciation	combined	OG0007216	0.038376505574199	0.789683863763777	0.99428258920205	No	No
speciation	combined	OG0007905	0.0384430136349025	0.804088132341001	0.99428258920205	No	No
speciation	combined	OG0007797	0.0391215470250992	0.809991857427787	0.99428258920205	No	No
speciation	combined	OG0006962	0.0396348504106429	0.814585285754259	0.99428258920205	No	No
speciation	combined	OG0002407	0.0420509534488367	0.584063833036608	0.99428258920205	No	No
speciation	combined	OG0007481	0.0422579145411435	0.765971419855713	0.99428258920205	No	No
speciation	combined	OG0007774	0.0460634489620976	0.802476024142216	0.99428258920205	No	No
speciation	combined	OG0007118	0.0469971416339691	0.749976629920769	0.99428258920205	No	No
speciation	combined	OG0008431	0.0477828762287423	0.774499911592186	0.99428258920205	No	No
speciation	combined	OG0003771	0.0484967509798302	0.587612534449528	0.99428258920205	No	No
speciation	combined	OG0001263	0.0524948735413297	0.684412285194117	0.99428258920205	No	No
speciation	combined	OG0002756	0.0559768120136693	0.694284350527354	0.99428258920205	No	No
speciation	combined	OG0002628	0.0617152291933897	0.655570621051518	0.99428258920205	No	No
speciation	combined	OG0006879	0.0728537834253309	0.584340346609435	0.99428258920205	No	No
speciation	combined	OG0002057	0.0777129284762727	0.341858817233918	0.99428258920205	No	No
speciation	combined	OG0000385	0.158738540573741	0.0866955723966931	0.99428258920205	No	No
speciation	combined	OG0001774	0.210121116650296	0.412361807380977	0.99428258920205	No	No
speciation	combined	OG0000143	0.211511228400837	0.046935752197546	0.99428258920205	Yes & Top 5% Coef.	No
speciation	combined	OG0003238	0.288162748170582	0.625393972589452	0.99428258920205	No	No
speciation	combined	OG0004909	0.348498820042493	0.500010750243594	0.99428258920205	No	No
speciation	combined	OG0005814	0.419060570850483	0.357067998321279	0.99428258920205	No	No
speciation	combined	OG0008628	0.483239005088408	0.493153974924671	0.99428258920205	No	No
speciation	combined	OG0007955	0.990577371616908	0.449662027652425	0.99428258920205	No	No
speciation	combined	OG0010780	1.02269656424898	0.430348615702131	0.99428258920205	No	No
