profile_type	cluster_data	gene_family_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	OG0008691	-1.98519375908813	0.304775234345157	0.983975876810676	No	No
speciation	combined	OG0011414	-1.11646528079882	0.536955523348153	0.983975876810676	No	No
speciation	combined	OG0013048	-1.11646528079882	0.536955523348153	0.983975876810676	No	No
speciation	combined	OG0004518	-0.919565344700753	0.411158514103087	0.983975876810676	No	No
speciation	combined	OG0003684	-0.850821088185387	0.506517908761457	0.983975876810676	No	No
speciation	combined	OG0002473	-0.829265805385212	0.336743018616561	0.983975876810676	No	No
speciation	combined	OG0002468	-0.677878053575243	0.505451489548853	0.983975876810676	No	No
speciation	combined	OG0010423	-0.639740641618402	0.627594886474521	0.983975876810676	No	No
speciation	combined	OG0000906	-0.638052665621262	0.595802590931071	0.983975876810676	No	No
speciation	combined	OG0000905	-0.633160070696903	0.287705104377115	0.983975876810676	No	No
speciation	combined	OG0005291	-0.58878046820321	0.494105793892936	0.983975876810676	No	No
speciation	combined	OG0003499	-0.509423007960395	0.618643702493257	0.983975876810676	No	No
speciation	combined	OG0001724	-0.48821667188311	0.631614016804988	0.983975876810676	No	No
speciation	combined	OG0010866	-0.473101560222888	0.538233147464957	0.983975876810676	No	No
speciation	combined	OG0001259	-0.389035443443873	0.601021022618957	0.983975876810676	No	No
speciation	combined	OG0004481	-0.362331097322393	0.828299624535457	0.983975876810676	No	No
speciation	combined	OG0000795	-0.362005170834069	0.828433166016343	0.983975876810676	No	No
speciation	combined	OG0010879	-0.361513009778923	0.828607585640523	0.983975876810676	No	No
speciation	combined	OG0013038	-0.361064499435297	0.828775766120148	0.983975876810676	No	No
speciation	combined	OG0004725	-0.360995583398746	0.828801785055205	0.983975876810676	No	No
speciation	combined	OG0013041	-0.360689751499073	0.828933063207839	0.983975876810676	No	No
speciation	combined	OG0012930	-0.360648683250424	0.828933174969714	0.983975876810676	No	No
speciation	combined	OG0008905	-0.360583239911328	0.828957895722238	0.983975876810676	No	No
speciation	combined	OG0005785	-0.360485168321076	0.828983802764876	0.983975876810676	No	No
speciation	combined	OG0008506	-0.360340858270089	0.829060342434124	0.983975876810676	No	No
speciation	combined	OG0004184	-0.360135889031521	0.829136839246434	0.983975876810676	No	No
speciation	combined	OG0011429	-0.360023200887312	0.829186643179864	0.983975876810676	No	No
speciation	combined	OG0012975	-0.359619340882484	0.829329108548322	0.983975876810676	No	No
speciation	combined	OG0012997	-0.359557006080668	0.82934206693948	0.983975876810676	No	No
speciation	combined	OG0012996	-0.359415645842772	0.829405123622466	0.983975876810676	No	No
speciation	combined	OG0013060	-0.359030256624072	0.82954587457344	0.983975876810676	No	No
speciation	combined	OG0003460	-0.346220390508995	0.738898853497949	0.983975876810676	No	No
speciation	combined	OG0000023	-0.343528431294193	0.351864220003993	0.983975876810676	No	No
speciation	combined	OG0001845	-0.312114950739782	0.535283920669518	0.983975876810676	No	No
speciation	combined	OG0004674	-0.31158770457855	0.696729769977978	0.983975876810676	No	No
speciation	combined	OG0004008	-0.281246903825359	0.700544174256333	0.983975876810676	No	No
speciation	combined	OG0001370	-0.243277624337724	0.688884631102121	0.983975876810676	No	No
speciation	combined	OG0011417	-0.235185839250164	0.782853862077214	0.983975876810676	No	No
speciation	combined	OG0002806	-0.228570260318984	0.836417836525775	0.983975876810676	No	No
speciation	combined	OG0003548	-0.227115276217567	0.837307505229814	0.983975876810676	No	No
speciation	combined	OG0006854	-0.225417712753159	0.814743315202742	0.983975876810676	No	No
speciation	combined	OG0000814	-0.209318841764826	0.707733793447519	0.983975876810676	No	No
speciation	combined	OG0001008	-0.18876114832844	0.482292156476863	0.983975876810676	No	No
speciation	combined	OG0002067	-0.174175819864483	0.879938595614859	0.983975876810676	No	No
speciation	combined	OG0003813	-0.103736636785111	0.905288387661947	0.983975876810676	No	No
speciation	combined	OG0001373	-0.0883976315207963	0.886706926477964	0.983975876810676	No	No
speciation	combined	OG0003626	-0.0844545522092371	0.935415353127073	0.983975876810676	No	No
speciation	combined	OG0004805	-0.0807479057893994	0.937425329518571	0.983975876810676	No	No
speciation	combined	OG0006796	-0.0789450226072355	0.938157368452703	0.983975876810676	No	No
speciation	combined	OG0000756	-0.0659825748965688	0.857083438058948	0.983975876810676	No	No
speciation	combined	OG0006176	-0.0569881202806192	0.931863581821567	0.983975876810676	No	No
speciation	combined	OG0004949	-0.0559090660036011	0.916180657351368	0.983975876810676	No	No
speciation	combined	OG0001608	-0.0540263061328017	0.789279128497311	0.983975876810676	No	No
speciation	combined	OG0000018	-0.0517006560416802	0.756597820954883	0.983975876810676	No	No
speciation	combined	OG0000557	-0.0232653031486791	0.953658019356551	0.983975876810676	No	No
speciation	combined	OG0001864	-0.0202062707763965	0.951837322420442	0.983975876810676	No	No
