OG0000925	OG0010025	OG0011146	OG0012028	OG0012080	OG0012910	detection_suppression
2	0	1	0	0	0	0
3	0	0	0	0	0	1
1	0	0	0	0	0	1
4	0	0	0	0	0	1
2	0	0	0	0	0	1
4	0	0	0	0	0	1
1	0	0	0	0	0	1
4	0	0	0	0	0	1
3	0	0	0	0	0	1
1	0	0	0	0	0	1
2	0	0	0	0	0	1
1	0	0	0	0	0	1
1	0	0	0	0	0	1
1	0	0	0	0	0	0
1	0	0	0	0	0	0
3	0	0	0	0	0	0
2	0	0	0	0	0	0
1	0	0	0	0	0	0
1	0	0	0	0	0	0
1	0	0	0	0	0	0
1	0	0	0	0	0	0
1	0	0	0	0	0	0
3	2	2	2	2	2	0
3	1	1	1	1	0	0
2	1	1	1	1	1	0
2	3	1	1	1	1	0
2	3	1	1	1	1	1
2	1	1	1	1	1	1
2	1	1	1	1	1	0
1	0	0	0	0	0	0
3	0	0	0	0	0	0
6	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
0	0	0	0	0	0	0
3	0	0	0	0	0	0
8	0	0	0	0	0	0
3	0	0	0	0	0	0
1	0	0	0	0	0	0
4	0	0	0	0	0	0
