OG0000143	OG0000174	OG0000251	OG0000306	OG0000385	OG0000507	OG0000749	OG0000753	OG0000903	OG0001018	OG0001263	OG0001399	OG0001677	OG0001774	OG0002057	OG0002295	OG0002407	OG0002628	OG0002756	OG0003238	OG0003771	OG0004909	OG0005403	OG0005652	OG0005814	OG0006477	OG0006549	OG0006782	OG0006879	OG0006962	OG0006967	OG0007118	OG0007216	OG0007357	OG0007481	OG0007597	OG0007774	OG0007797	OG0007905	OG0007955	OG0007979	OG0008089	OG0008431	OG0008481	OG0008628	OG0008661	OG0008823	OG0008871	OG0008872	OG0008888	OG0009073	OG0009320	OG0009361	OG0009375	OG0009618	OG0009633	OG0009872	OG0009919	OG0009965	OG0009997	OG0010246	OG0010276	OG0010335	OG0010678	OG0010688	OG0010694	OG0010736	OG0010743	OG0010752	OG0010780	OG0010826	OG0010858	OG0010930	OG0011208	OG0011232	OG0011245	OG0011262	OG0011284	OG0011845	OG0011854	OG0011906	OG0011998	OG0012700	OG0012703	OG0012706	OG0012719	OG0012723	OG0012730	OG0012735	OG0012745	OG0012748	OG0012781	OG0012838	OG0012847	OG0012861	OG0012903	OG0013817	OG0013828	OG0013861	OG0013872	OG0013891	OG0013895	OG0013911	OG0013929	OG0013942	OG0013948	OG0013971	OG0013984	OG0013995	OG0014013	OG0014035	OG0014054	OG0014434	OG0014939	OG0015415	OG0015418	OG0015431	OG0015432	OG0015481	OG0015495	OG0015500	OG0015515	OG0015527	OG0015541	OG0015543	OG0015575	OG0015589	OG0015590	OG0015611	OG0015656	OG0015702	detection_suppression
0	0	4	1	1	1	0	4	11	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	21	7	6	24	4	4	14	2	3	5	5	0	5	5	3	19	12	7	2	20	1	0	1	4	1	1	1	0	6	6	2	6	2	4	0	1	3	4	1	0	5	8	1	1	1	3	1	5	1	5	4	2	1	1	1	2	1	1	0	1	1	2	2	1	2	2	3	1	1	1	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
0	0	2	1	0	4	5	7	2	0	1	3	0	2	2	3	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	3	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
57	9	4	23	17	5	3	8	3	4	12	1	19	11	3	0	11	6	13	2	8	0	0	1	3	1	1	2	0	7	7	5	9	1	10	12	2	6	8	1	1	4	4	8	3	3	3	2	6	4	2	1	3	2	1	3	3	6	2	1	3	1	2	1	4	2	3	0	1	0	2	0	2	1	4	3	1	2	1	3	2	1	1	0	1	1	0	2	2	1	2	1	0	1	1	3	0	2	1	1	1	0	2	1	1	1	1	1	1	1	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
9	5	3	2	8	4	7	2	2	0	1	3	2	1	0	6	0	2	9	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	1	0	1	0	0	0	0	0	2	1	2	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
37	3	2	12	18	2	5	14	7	3	12	2	10	8	1	1	6	4	13	1	6	1	1	1	6	1	1	1	1	3	5	9	2	1	6	0	6	9	2	3	2	3	2	3	2	3	4	10	2	1	3	1	3	4	3	6	3	1	5	5	4	1	4	1	1	1	2	1	5	2	3	1	0	1	1	1	1	4	2	1	1	2	3	0	2	3	3	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	51	7	4	14	1	1	3	1	1	2	0	6	0	15	1	3	6	0	1	8	0	2	0	2	0	0	0	15	3	1	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	1	2	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
8	21	2	6	12	2	2	2	4	3	2	1	12	2	1	1	2	10	2	2	1	4	1	1	1	1	1	2	3	0	2	3	1	1	1	1	6	1	2	2	1	2	0	1	1	3	3	1	0	3	1	1	1	2	1	0	2	2	1	2	1	2	0	1	2	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
37	5	4	8	10	3	3	6	2	3	13	1	3	8	2	2	8	8	7	2	2	1	3	1	6	1	1	1	2	8	6	4	1	1	3	0	3	3	3	1	1	3	1	1	1	3	3	2	1	2	2	2	2	3	2	2	2	1	2	2	1	1	2	1	0	3	2	1	1	1	2	2	4	2	1	1	1	1	1	2	1	2	1	1	2	1	0	1	1	1	2	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	105	17	13	13	1	3	6	1	2	0	0	1	0	19	1	0	0	0	3	0	0	1	1	0	0	2	3	6	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
