profile_type	cluster_data	gene_family_id	coefficient	pval	qval	signif_level	signif_fdr
speciation	combined	OG0012786	-0.238495568146809	0.627212924337788	0.683820588989213	No	No
speciation	combined	OG0008048	-0.226589758655705	0.589315306443702	0.655194719747072	No	No
speciation	combined	OG0002256	-0.157321118218303	0.531604838940958	0.612765883054081	No	No
speciation	combined	OG0011318	-0.076763990044203	0.937398060254411	0.950481143581444	No	No
speciation	combined	OG0002229	-0.0451900586317148	0.727646287641002	0.782025547571469	No	No
speciation	combined	OG0005520	-0.0412183479757514	0.877881353245613	0.911851250688556	No	No
speciation	combined	OG0001592	-0.0369998936522386	0.821589933031852	0.867553006208459	No	No
speciation	combined	OG0010066	-0.0369775642304109	0.859193363184152	0.900959707227826	No	No
speciation	combined	OG0001154	-0.0212003835180544	0.881995788542327	0.912201123766379	No	No
speciation	combined	OG0009095	-0.0156191224747743	0.928779013458259	0.947605615082413	No	No
speciation	combined	OG0006355	-0.00949081892026893	0.937891989361822	0.950481143581444	No	No
speciation	combined	OG0005434	-0.00780924069956913	0.944717168344915	0.954195935920282	No	No
speciation	combined	OG0005027	0.00243840232211386	0.984946483494464	0.984946483494464	No	No
speciation	combined	OG0004234	0.00389971765637256	0.965294395126701	0.968501353250045	No	No
speciation	combined	OG0004969	0.00666645903549699	0.891955886011092	0.919353848380034	No	No
speciation	combined	OG0001289	0.0120178183962978	0.911122685235598	0.935915139255614	No	No
speciation	combined	OG0006407	0.0156420723305008	0.954828093470594	0.961193614093731	No	No
speciation	combined	OG0002864	0.0178574966259072	0.869490178182274	0.908602193117809	No	No
speciation	combined	OG0010839	0.0211188400035342	0.925814148905679	0.947605615082413	No	No
speciation	combined	OG0007265	0.0279531640697479	0.878638125663477	0.911851250688556	No	No
speciation	combined	OG0003354	0.0374027822367871	0.734080491373105	0.78614293756978	No	No
speciation	combined	OG0009038	0.0449610450875076	0.813179463597334	0.86471900706477	No	No
speciation	combined	OG0002126	0.0460745592920029	0.800757933264267	0.854519066592963	No	No
speciation	combined	OG0011214	0.0524267664736795	0.847838840735265	0.892150975268468	No	No
speciation	combined	OG0007503	0.0563563370838363	0.54421597912127	0.622127675736621	No	No
speciation	combined	OG0008654	0.0600131995672112	0.6206283090017	0.679093294632294	No	No
speciation	combined	OG0006960	0.0626470638214299	0.549694231601491	0.622127675736621	No	No
speciation	combined	OG0006585	0.0633816792548764	0.527222748634429	0.612389500336914	No	No
speciation	combined	OG0006432	0.0634785171765887	0.491248817456878	0.586391869059198	No	No
speciation	combined	OG0002143	0.0652235402063814	0.33176692615393	0.525989479977867	No	No
speciation	combined	OG0008297	0.0652736638405137	0.618285122297965	0.678989479759947	No	No
speciation	combined	OG0004509	0.0653149495335743	0.81675380728952	0.865472455443632	No	No
speciation	combined	OG0007135	0.0670401387021179	0.60298901125344	0.667042789005636	No	No
speciation	combined	OG0004720	0.0676688614277616	0.46277933592055	0.561282568064282	No	No
speciation	combined	OG0003000	0.0676930326380704	0.718651609853	0.775117093484307	No	No
speciation	combined	OG0007402	0.0682442358027001	0.590109151560277	0.655194719747072	No	No
speciation	combined	OG0001405	0.0696633980523197	0.589205074579827	0.655194719747072	No	No
speciation	combined	OG0005450	0.071249653413791	0.496938368336027	0.58719523747554	No	No
speciation	combined	OG0001839	0.0734909296210755	0.251526381931403	0.516741274444107	No	No
speciation	combined	OG0007921	0.0751161727557888	0.552086811580843	0.622127675736621	No	No
speciation	combined	OG0001002	0.0775356867688632	0.19701260019243	0.454194120806264	No	No
speciation	combined	OG0004737	0.0789712474624143	0.380906648582519	0.525989479977867	No	No
speciation	combined	OG0007749	0.0795280983874663	0.549707742461385	0.622127675736621	No	No
speciation	combined	OG0000335	0.0799517234710173	0.122419653960421	0.35359459644991	No	No
speciation	combined	OG0000649	0.0818001797450492	0.136515540293168	0.369304889132517	No	No
speciation	combined	OG0007397	0.0822949482018684	0.441806928250501	0.549076923175519	No	No
speciation	combined	OG0000354	0.0827944023126632	0.085787026506592	0.335171657423017	No	No
speciation	combined	OG0000305	0.0871227600781369	0.0968343564416323	0.335171657423017	No	No
speciation	combined	OG0007651	0.0896343526903129	0.517289935678861	0.60375550806246	No	No
speciation	combined	OG0000967	0.0912082140236611	0.205140560800861	0.463487317422287	No	No
speciation	combined	OG0009116	0.0921637557982399	0.585979394313052	0.655194719747072	No	No
speciation	combined	OG0001182	0.104196461701218	0.436957163459188	0.547556279521472	No	No
speciation	combined	OG0005235	0.108822488778237	0.397315859163181	0.528587618798593	No	No
speciation	combined	OG0001506	0.126441630892646	0.513212911650343	0.603075094624139	No	No
speciation	combined	OG0006194	0.135004019599199	0.363556862949157	0.525989479977867	No	No
speciation	combined	OG0001834	0.146952706117334	0.343131785369749	0.525989479977867	No	No
speciation	combined	OG0000258	0.161811579494496	0.00791400603178753	0.168988072244066	Yes	No
speciation	combined	OG0009415	0.169255216634145	0.459260746100949	0.560471270305521	No	No
speciation	combined	OG0003098	0.175127410338758	0.530940804561217	0.612765883054081	No	No
speciation	combined	OG0002773	0.178056812868245	0.429700695982025	0.542969080278543	No	No
speciation	combined	OG0008344	0.190698278556225	0.422953526056464	0.541069103408943	No	No
speciation	combined	OG0011356	0.192699836216022	0.705380309268526	0.763529940498548	No	No
speciation	combined	OG0009107	0.197640425084245	0.456727592203308	0.560471270305521	No	No
speciation	combined	OG0003554	0.217889255467851	0.101027554092672	0.335171657423017	No	No
speciation	combined	OG0003471	0.217953383272775	0.607829349207408	0.669943297301595	No	No
speciation	combined	OG0007913	0.229652407723391	0.307773994332064	0.525989479977867	No	No
speciation	combined	OG0008861	0.230562260384319	0.359810575365097	0.525989479977867	No	No
speciation	combined	OG0007475	0.239867757357452	0.271561899074969	0.525989479977867	No	No
speciation	combined	OG0006324	0.246186469896536	0.456139874161451	0.560471270305521	No	No
speciation	combined	OG0007873	0.247529208344655	0.517790319828401	0.60375550806246	No	No
speciation	combined	OG0001306	0.260791422469611	0.147795576868437	0.391313242933707	No	No
speciation	combined	OG0000803	0.264475631234982	0.0189132378645682	0.211548067966651	Yes	No
speciation	combined	OG0009300	0.267545138065816	0.404039306549549	0.532837862785868	No	No
speciation	combined	OG0009045	0.271563533597993	0.345082333401227	0.525989479977867	No	No
speciation	combined	OG0009036	0.282417001784675	0.317092387133184	0.525989479977867	No	No
speciation	combined	OG0009567	0.282982273760373	0.366051176169099	0.525989479977867	No	No
speciation	combined	OG0006318	0.289749336417231	0.100330185789702	0.335171657423017	No	No
speciation	combined	OG0004651	0.289903819906177	0.479554430691829	0.576993777167061	No	No
speciation	combined	OG0009370	0.290547090162369	0.335320979720434	0.525989479977867	No	No
speciation	combined	OG0001663	0.295424227465842	0.0241920703299135	0.251931215159789	Yes	No
speciation	combined	OG0009878	0.300604422632991	0.426604275304365	0.541321391352597	No	No
speciation	combined	OG0010727	0.311777340943396	0.410239511591981	0.536330443726313	No	No
speciation	combined	OG0009906	0.311891785716547	0.355930253731297	0.525989479977867	No	No
speciation	combined	OG0014391	0.315034601960475	0.631568974295381	0.68609291452232	No	No
speciation	combined	OG0009286	0.31939317007344	0.304068986154432	0.525989479977867	No	No
speciation	combined	OG0005246	0.319722229483852	0.416966413156434	0.538136140056594	No	No
speciation	combined	OG0010237	0.321125622558044	0.376215123279322	0.525989479977867	No	No
speciation	combined	OG0010945	0.332311875887234	0.391879579453709	0.525989479977867	No	No
speciation	combined	OG0010910	0.332886897140466	0.540373981424852	0.620505484373785	No	No
speciation	combined	OG0010779	0.334779915677889	0.389447348368756	0.525989479977867	No	No
speciation	combined	OG0007485	0.33936091870516	0.193496101780369	0.454194120806264	No	No
speciation	combined	OG0000747	0.340964561024791	0.0170230206847723	0.211548067966651	Yes	No
speciation	combined	OG0012129	0.34563172475952	0.551506243883355	0.622127675736621	No	No
speciation	combined	OG0010277	0.34883067730942	0.364690442576692	0.525989479977867	No	No
speciation	combined	OG0009565	0.353311251156562	0.307727507181388	0.525989479977867	No	No
speciation	combined	OG0005236	0.35569801888852	0.22480436071993	0.471464700954297	No	No
speciation	combined	OG0010689	0.356153734253728	0.361942542670358	0.525989479977867	No	No
speciation	combined	OG0008083	0.357230686018923	0.194691465883128	0.454194120806264	No	No
speciation	combined	OG0010806	0.366922517984462	0.373570350336697	0.525989479977867	No	No
speciation	combined	OG0011859	0.367478363709201	0.43958600436187	0.548574269906135	No	No
speciation	combined	OG0007769	0.376454175698511	0.153153449717296	0.398727084608823	No	No
speciation	combined	OG0008503	0.378378932641438	0.370733649454326	0.525989479977867	No	No
speciation	combined	OG0011478	0.383414207297168	0.370590173173308	0.525989479977867	No	No
speciation	combined	OG0012017	0.388733716357165	0.424613832807681	0.541069103408943	No	No
speciation	combined	OG0009880	0.389951035718162	0.292429950885457	0.525989479977867	No	No
speciation	combined	OG0012889	0.392548976184421	0.415589175003457	0.538136140056594	No	No
speciation	combined	OG0007358	0.393639250941576	0.106419195405875	0.335171657423017	No	No
speciation	combined	OG0011213	0.402889318364192	0.347103111858992	0.525989479977867	No	No
speciation	combined	OG0010750	0.404002961902593	0.303294997190161	0.525989479977867	No	No
speciation	combined	OG0007751	0.404756988725696	0.125967663637827	0.355583473227159	No	No
speciation	combined	OG0007510	0.413905594777548	0.101429118605495	0.335171657423017	No	No
speciation	combined	OG0009152	0.41675130718346	0.213207485689031	0.465443628570884	No	No
speciation	combined	OG0012712	0.417282773983482	0.423865471520068	0.541069103408943	No	No
speciation	combined	OG0012900	0.424294025272136	0.43192055227245	0.543500028276167	No	No
speciation	combined	OG0011822	0.428718660894891	0.357924325716988	0.525989479977867	No	No
speciation	combined	OG0000746	0.428723980533791	0.0150729955274145	0.197914984751269	Yes	No
speciation	combined	OG0011952	0.429287964702153	0.401819684095553	0.532234844723057	No	No
speciation	combined	OG0013065	0.436261988710084	0.416235439547227	0.538136140056594	No	No
speciation	combined	OG0010428	0.439155171337153	0.316169773216975	0.525989479977867	No	No
speciation	combined	OG0011987	0.445262555772074	0.389821424233902	0.525989479977867	No	No
speciation	combined	OG0014353	0.446229434326546	0.460254553098573	0.560471270305521	No	No
speciation	combined	OG0009303	0.448686691274617	0.208286384304938	0.463487317422287	No	No
speciation	combined	OG0008833	0.450487246717829	0.197017979555035	0.454194120806264	No	No
speciation	combined	OG0010069	0.453252599843218	0.222584271380754	0.470073076622292	No	No
speciation	combined	OG0006358	0.456015844484611	0.216171365499631	0.466312517006347	No	No
speciation	combined	OG0014022	0.456853406074349	0.445187450218581	0.551010696582014	No	No
speciation	combined	OG0011981	0.457048814172688	0.384856258851641	0.525989479977867	No	No
speciation	combined	OG0012809	0.468297915918595	0.386556645156918	0.525989479977867	No	No
speciation	combined	OG0012799	0.468749622520967	0.386108773392191	0.525989479977867	No	No
