OG0002020	OG0002102	OG0002861	OG0004415	OG0006846	OG0007375	OG0007970	OG0011006	OG0012330	OG0013412	OG0014544	OG0014824	OG0014835	OG0014842	OG0014845	OG0016481	OG0016483	OG0016485	OG0016495	OG0016498	OG0016514	OG0016530	detection_suppression
2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0
2	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	2	1	1	1	1	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	0
2	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	0
1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	4	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
